"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Sex code (SEX_LABEL)","Meaning of Ethnicity code (ETH_GROUP_LABEL)","Meaning of Race code (RACE_GROUP_LABEL)","Meaning of Veteran code (VET_GROUP_LABEL)","Meaning of Years in business code (YIBSZFI_LABEL)","Year (YEAR)","Number of employer firms (FIRMPDEMP)","Sales, value of shipments, or revenue of employer firms ($1,000) (RCPPDEMP)","Number of employees (EMP)","Annual payroll ($1,000) (PAYANN)","Relative standard error of employer firms (%) (FIRMPDEMP_S)","Relative standard error of sales, value of shipments, or revenue of employer firms (%) (RCPPDEMP_S)","Relative standard error of number of employees (%) (EMP_S)","Relative standard error of annual payroll (%) (PAYANN_S)"
"United States","61","Educational services","Equally male/female","Total","Black or African American","Total","Firms with less than 2 years in business","2018","11","K","48","2,863","14.6","S","20.1","0.8"
"United States","61","Educational services","Equally male/female","Total","Black or African American","Total","Firms with 2 to 3 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","61","Educational services","Equally male/female","Total","Black or African American","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Equally male/female","Total","Black or African American","Total","Firms with 11 to 15 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Hispanic","Black or African American","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Hispanic","Black or African American","Total","Firms with 2 to 3 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Hispanic","Black or African American","Total","Firms with 4 to 5 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Hispanic","Black or African American","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Hispanic","Black or African American","Total","Firms with 11 to 15 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Non-Hispanic","Black or African American","Total","Firms with less than 2 years in business","2018","448","O","1,209","29,776","23.3","S","30.4","14.6"
"United States","61","Educational services","Total","Non-Hispanic","Black or African American","Total","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Black or African American","Total","Firms with 4 to 5 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Black or African American","Total","Firms with 6 to 10 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Black or African American","Total","Firms with 11 to 15 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Black or African American","Total","Firms with 16 or more years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","47","K","108","3,907","100.6","S","43.8","14.5"
"United States","61","Educational services","Total","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","D","D","1,000 to 2,499 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","D","D","1,000 to 2,499 employees","D","D","D","D","D"
"United States","61","Educational services","Female","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","14","K","64","3,346","11.5","S","2.5","0.5"
"United States","61","Educational services","Female","Total","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","D","D","1,000 to 2,499 employees","D","D","D","D","D"
"United States","61","Educational services","Female","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","61","Educational services","Female","Total","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","D","D","1,000 to 2,499 employees","D","D","D","D","D"
"United States","61","Educational services","Male","Total","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Hispanic","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with less than 2 years in business","2018","46","K","103","3,824","102.8","S","45.9","14.8"
"United States","61","Educational services","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 2 to 3 years in business","2018","D","D","1,000 to 2,499 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 6 to 10 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 11 to 15 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","American Indian and Alaska Native","Total","Firms with 16 or more years in business","2018","D","D","1,000 to 2,499 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Total","Asian","Total","Firms with less than 2 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Asian","Total","Firms with 2 to 3 years in business","2018","957","R","7,618","134,796","22.6","S","41.6","54.0"
"United States","61","Educational services","Total","Total","Asian","Total","Firms with 4 to 5 years in business","2018","819","T","6,400","158,604","24.4","S","50.1","57.2"
"United States","61","Educational services","Total","Total","Asian","Total","Firms with 6 to 10 years in business","2018","1,194","T","7,315","178,577","29.6","S","39.8","53.2"
"United States","61","Educational services","Total","Total","Asian","Total","Firms with 11 to 15 years in business","2018","1,012","T","11,215","206,075","38.1","S","55.3","58.1"
"United States","61","Educational services","Total","Total","Asian","Total","Firms with 16 or more years in business","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Asian","Total","Firms with less than 2 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Asian","Total","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Asian","Total","Firms with 4 to 5 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Asian","Total","Firms with 6 to 10 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Asian","Total","Firms with 11 to 15 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Asian","Total","Firms with 16 or more years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Asian","Total","Firms with less than 2 years in business","2018","881","R","4,628","72,041","17.0","S","44.6","31.8"
"United States","61","Educational services","Male","Total","Asian","Total","Firms with 2 to 3 years in business","2018","430","R","2,855","46,004","33.7","S","56.8","56.2"
"United States","61","Educational services","Male","Total","Asian","Total","Firms with 4 to 5 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Asian","Total","Firms with 6 to 10 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Asian","Total","Firms with 11 to 15 years in business","2018","457","R","3,980","65,879","31.8","S","65.0","53.8"
"United States","61","Educational services","Male","Total","Asian","Total","Firms with 16 or more years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Asian","Total","Firms with less than 2 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Asian","Total","Firms with 2 to 3 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Asian","Total","Firms with 4 to 5 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Asian","Total","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Asian","Total","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Asian","Total","Firms with 16 or more years in business","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Hispanic","Asian","Total","Firms with 2 to 3 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Non-Hispanic","Asian","Total","Firms with less than 2 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Asian","Total","Firms with 2 to 3 years in business","2018","927","R","7,408","132,516","20.0","S","41.9","55.1"
"United States","61","Educational services","Total","Non-Hispanic","Asian","Total","Firms with 4 to 5 years in business","2018","819","T","6,400","158,604","24.4","S","50.1","57.2"
"United States","61","Educational services","Total","Non-Hispanic","Asian","Total","Firms with 6 to 10 years in business","2018","1,194","T","7,315","178,577","29.6","S","39.8","53.2"
"United States","61","Educational services","Total","Non-Hispanic","Asian","Total","Firms with 11 to 15 years in business","2018","1,012","T","11,215","206,075","38.1","S","55.3","58.1"
"United States","61","Educational services","Total","Non-Hispanic","Asian","Total","Firms with 16 or more years in business","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with less than 2 years in business","2018","4","B","0","119","40.1","S","0.0","2.7"
"United States","61","Educational services","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 16 or more years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with less than 2 years in business","2018","4","B","0","119","40.1","S","0.0","2.7"
"United States","61","Educational services","Male","Total","Native Hawaiian and Other Pacific Islander","Total","Firms with 16 or more years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with less than 2 years in business","2018","4","B","0","119","40.1","S","0.0","2.7"
"United States","61","Educational services","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 6 to 10 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Non-Hispanic","Native Hawaiian and Other Pacific Islander","Total","Firms with 16 or more years in business","2018","S","S","250 to 499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Minority","Total","Firms with less than 2 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Minority","Total","Firms with 2 to 3 years in business","2018","2,166","T","15,058","310,783","20.5","S","26.3","35.1"
"United States","61","Educational services","Total","Total","Minority","Total","Firms with 4 to 5 years in business","2018","1,692","T","14,832","269,824","19.7","S","47.7","45.0"
"United States","61","Educational services","Total","Total","Minority","Total","Firms with 6 to 10 years in business","2018","2,005","T","11,741","276,090","20.5","S","29.1","35.2"
"United States","61","Educational services","Total","Total","Minority","Total","Firms with 11 to 15 years in business","2018","1,728","T","14,030","274,956","23.7","S","42.6","42.5"
"United States","61","Educational services","Total","Total","Minority","Total","Firms with 16 or more years in business","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Minority","Total","Firms with less than 2 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Minority","Total","Firms with 2 to 3 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Minority","Total","Firms with 4 to 5 years in business","2018","970","R","11,381","185,711","20.6","S","57.1","57.2"
"United States","61","Educational services","Female","Total","Minority","Total","Firms with 6 to 10 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Minority","Total","Firms with 11 to 15 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Minority","Total","Firms with 16 or more years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Minority","Total","Firms with less than 2 years in business","2018","1,335","R","5,859","97,811","15.3","S","39.8","24.9"
"United States","61","Educational services","Male","Total","Minority","Total","Firms with 2 to 3 years in business","2018","886","R","5,001","104,884","30.0","S","41.2","51.3"
"United States","61","Educational services","Male","Total","Minority","Total","Firms with 4 to 5 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Minority","Total","Firms with 6 to 10 years in business","2018","989","R","6,081","160,797","32.1","S","36.4","51.6"
"United States","61","Educational services","Male","Total","Minority","Total","Firms with 11 to 15 years in business","2018","770","R","5,186","105,289","20.9","S","51.9","57.1"
"United States","61","Educational services","Male","Total","Minority","Total","Firms with 16 or more years in business","2018","839","T","7,763","168,025","35.1","S","48.2","45.9"
"United States","61","Educational services","Equally male/female","Total","Minority","Total","Firms with less than 2 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Minority","Total","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Minority","Total","Firms with 4 to 5 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Minority","Total","Firms with 6 to 10 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Minority","Total","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Minority","Total","Firms with 16 or more years in business","2018","S","S","25,000 to 49,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Equally minority/nonminority","Total","Firms with less than 2 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Equally minority/nonminority","Total","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Equally minority/nonminority","Total","Firms with 4 to 5 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Equally minority/nonminority","Total","Firms with 6 to 10 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Equally minority/nonminority","Total","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Equally minority/nonminority","Total","Firms with 16 or more years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Equally minority/nonminority","Total","Firms with less than 2 years in business","2018","7","I","40","494","22.9","S","4.0","0.9"
"United States","61","Educational services","Female","Total","Equally minority/nonminority","Total","Firms with 2 to 3 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","61","Educational services","Female","Total","Equally minority/nonminority","Total","Firms with 6 to 10 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","61","Educational services","Female","Total","Equally minority/nonminority","Total","Firms with 16 or more years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Male","Total","Equally minority/nonminority","Total","Firms with less than 2 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Male","Total","Equally minority/nonminority","Total","Firms with 2 to 3 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","61","Educational services","Male","Total","Equally minority/nonminority","Total","Firms with 6 to 10 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","61","Educational services","Male","Total","Equally minority/nonminority","Total","Firms with 11 to 15 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","61","Educational services","Male","Total","Equally minority/nonminority","Total","Firms with 16 or more years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","61","Educational services","Equally male/female","Total","Equally minority/nonminority","Total","Firms with less than 2 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 4 to 5 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 6 to 10 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Equally minority/nonminority","Total","Firms with 16 or more years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Nonminority","Total","Firms with less than 2 years in business","2018","9,286","U","36,627","1,263,314","2.9","S","13.9","17.9"
"United States","61","Educational services","Total","Total","Nonminority","Total","Firms with 2 to 3 years in business","2018","7,768","U","50,466","1,179,379","16.7","S","17.9","21.5"
"United States","61","Educational services","Total","Total","Nonminority","Total","Firms with 4 to 5 years in business","2018","5,883","U","41,845","1,007,947","9.7","S","21.7","30.1"
"United States","61","Educational services","Total","Total","Nonminority","Total","Firms with 6 to 10 years in business","2018","9,429","W","91,918","2,534,618","11.8","S","19.2","23.0"
"United States","61","Educational services","Total","Total","Nonminority","Total","Firms with 11 to 15 years in business","2018","6,621","W","66,876","1,840,458","11.8","S","22.1","40.4"
"United States","61","Educational services","Total","Total","Nonminority","Total","Firms with 16 or more years in business","2018","12,816","W","280,338","9,350,072","7.6","S","10.2","13.4"
"United States","61","Educational services","Female","Total","Nonminority","Total","Firms with less than 2 years in business","2018","3,730","U","14,707","442,014","12.4","S","26.1","31.7"
"United States","61","Educational services","Female","Total","Nonminority","Total","Firms with 2 to 3 years in business","2018","3,118","U","18,598","465,509","16.3","S","25.5","36.5"
"United States","61","Educational services","Female","Total","Nonminority","Total","Firms with 4 to 5 years in business","2018","2,553","T","18,326","324,446","12.5","S","34.8","45.9"
"United States","61","Educational services","Female","Total","Nonminority","Total","Firms with 6 to 10 years in business","2018","3,884","U","44,111","1,110,250","15.2","S","32.5","44.3"
"United States","61","Educational services","Female","Total","Nonminority","Total","Firms with 11 to 15 years in business","2018","2,553","U","23,612","365,148","18.2","S","27.0","27.6"
"United States","61","Educational services","Female","Total","Nonminority","Total","Firms with 16 or more years in business","2018","5,175","W","92,359","2,748,182","12.3","S","26.9","32.3"
"United States","61","Educational services","Male","Total","Nonminority","Total","Firms with less than 2 years in business","2018","3,709","U","16,186","635,570","11.0","S","26.2","28.3"
"United States","61","Educational services","Male","Total","Nonminority","Total","Firms with 2 to 3 years in business","2018","3,194","U","21,338","400,253","23.5","S","34.8","32.9"
"United States","61","Educational services","Male","Total","Nonminority","Total","Firms with 4 to 5 years in business","2018","2,449","U","17,025","459,034","17.4","S","29.5","40.5"
"United States","61","Educational services","Male","Total","Nonminority","Total","Firms with 6 to 10 years in business","2018","3,664","U","32,622","1,114,140","16.7","S","21.3","19.5"
"United States","61","Educational services","Male","Total","Nonminority","Total","Firms with 11 to 15 years in business","2018","S","S","10,000 to 24,999 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Nonminority","Total","Firms with 16 or more years in business","2018","5,748","W","144,901","5,457,972","10.1","S","13.7","19.1"
"United States","61","Educational services","Equally male/female","Total","Nonminority","Total","Firms with less than 2 years in business","2018","1,850","T","5,734","185,730","14.3","S","33.3","35.6"
"United States","61","Educational services","Equally male/female","Total","Nonminority","Total","Firms with 2 to 3 years in business","2018","1,456","T","10,529","313,616","25.6","S","31.1","48.6"
"United States","61","Educational services","Equally male/female","Total","Nonminority","Total","Firms with 4 to 5 years in business","2018","S","S","5,000 to 9,999 employees","S","S","S","S","S"
"United States","61","Educational services","Equally male/female","Total","Nonminority","Total","Firms with 6 to 10 years in business","2018","1,881","T","15,185","310,228","19.1","S","29.6","32.0"
"United States","61","Educational services","Equally male/female","Total","Nonminority","Total","Firms with 11 to 15 years in business","2018","1,591","T","18,557","360,093","19.6","S","28.6","35.4"
"United States","61","Educational services","Equally male/female","Total","Nonminority","Total","Firms with 16 or more years in business","2018","1,894","U","43,078","1,143,918","18.2","S","37.7","45.5"
"United States","61","Educational services","Total","Total","Total","Veteran","Firms with less than 2 years in business","2018","337","O","563","23,279","31.0","S","25.9","27.8"
"United States","61","Educational services","Total","Total","Total","Veteran","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Total","Veteran","Firms with 4 to 5 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Total","Veteran","Firms with 6 to 10 years in business","2018","554","R","5,042","156,989","23.7","S","17.5","31.3"
"United States","61","Educational services","Total","Total","Total","Veteran","Firms with 11 to 15 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","Total","Veteran","Firms with 16 or more years in business","2018","737","U","20,014","904,030","22.9","S","48.8","45.4"
"United States","61","Educational services","Female","Total","Total","Veteran","Firms with less than 2 years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Total","Veteran","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Total","Veteran","Firms with 4 to 5 years in business","2018","S","S","100 to 249 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Total","Veteran","Firms with 6 to 10 years in business","2018","S","S","500 to 999 employees","S","S","S","S","S"
"United States","61","Educational services","Female","Total","Total","Veteran","Firms with 11 to 15 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","61","Educational services","Female","Total","Total","Veteran","Firms with 16 or more years in business","2018","S","S","20 to 99 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Total","Veteran","Firms with less than 2 years in business","2018","255","M","453","17,055","28.2","S","23.0","5.5"
"United States","61","Educational services","Male","Total","Total","Veteran","Firms with 2 to 3 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Total","Veteran","Firms with 4 to 5 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Total","Veteran","Firms with 6 to 10 years in business","2018","403","R","4,245","144,880","18.3","S","22.6","35.4"
"United States","61","Educational services","Male","Total","Total","Veteran","Firms with 11 to 15 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Male","Total","Total","Veteran","Firms with 16 or more years in business","2018","676","U","19,935","901,521","20.0","S","49.0","45.5"
"United States","61","Educational services","Equally male/female","Total","Total","Veteran","Firms with less than 2 years in business","2018","15","I","22","592","10.7","S","14.6","0.1"
"United States","61","Educational services","Equally male/female","Total","Total","Veteran","Firms with 2 to 3 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","61","Educational services","Equally male/female","Total","Total","Veteran","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Equally male/female","Total","Total","Veteran","Firms with 11 to 15 years in business","2018","D","D","250 to 499 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Hispanic","Total","Veteran","Firms with less than 2 years in business","2018","7","K","61","4,557","22.9","S","2.6","0.3"
"United States","61","Educational services","Total","Hispanic","Total","Veteran","Firms with 6 to 10 years in business","2018","62","L","186","5,744","101.4","S","54.4","20.9"
"United States","61","Educational services","Total","Hispanic","Total","Veteran","Firms with 11 to 15 years in business","2018","D","D","100 to 249 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Hispanic","Total","Veteran","Firms with 16 or more years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Equally Hispanic/non-Hispanic","Total","Veteran","Firms with less than 2 years in business","2018","8","B","0","175","20.1","S","0.0","2.8"
"United States","61","Educational services","Total","Equally Hispanic/non-Hispanic","Total","Veteran","Firms with 4 to 5 years in business","2018","D","D","0 to 19 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Non-Hispanic","Total","Veteran","Firms with less than 2 years in business","2018","320","M","502","18,547","32.6","S","29.0","34.9"
"United States","61","Educational services","Total","Non-Hispanic","Total","Veteran","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Total","Veteran","Firms with 4 to 5 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Total","Veteran","Firms with 6 to 10 years in business","2018","494","R","4,856","151,245","23.0","S","18.7","32.6"
"United States","61","Educational services","Total","Non-Hispanic","Total","Veteran","Firms with 11 to 15 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Non-Hispanic","Total","Veteran","Firms with 16 or more years in business","2018","736","U","20,012","903,984","22.9","S","48.8","45.4"
"United States","61","Educational services","Total","Total","White","Veteran","Firms with less than 2 years in business","2018","314","M","464","20,944","33.2","S","31.8","30.9"
"United States","61","Educational services","Total","Total","White","Veteran","Firms with 2 to 3 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","White","Veteran","Firms with 4 to 5 years in business","2018","S","S","1,000 to 2,499 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","White","Veteran","Firms with 6 to 10 years in business","2018","524","R","5,012","156,209","25.0","S","17.1","30.8"
"United States","61","Educational services","Total","Total","White","Veteran","Firms with 11 to 15 years in business","2018","S","S","2,500 to 4,999 employees","S","S","S","S","S"
"United States","61","Educational services","Total","Total","White","Veteran","Firms with 16 or more years in business","2018","705","U","19,846","896,904","20.6","S","49.1","45.6"
"United States","61","Educational services","Total","Total","Black or African American","Veteran","Firms with less than 2 years in business","2018","22","K","99","2,335","7.3","S","9.7","0.5"
"United States","61","Educational services","Total","Total","Black or African American","Veteran","Firms with 4 to 5 years in business","2018","D","D","500 to 999 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Total","Black or African American","Veteran","Firms with 6 to 10 years in business","2018","D","D","20 to 99 employees","D","D","D","D","D"
"United States","61","Educational services","Total","Total","Black or African American","Veteran","Firms with 11 to 15 years in business","2018","4","B","0","99","40.1","S","0.0","1.6"
"United States","61","Educational services","Total","Total","Black or African American","Veteran","Firms with 16 or more years in business","2018","31","L","168","7,126","151.9","S","29.8","36.4"
